schema_version,component_id,repository,path,current_contract,evidence,decision,target_contract,reason,required_control
1.0.0,LARAVEL_RUNTIME,Laravel sibling,composer.lock,Laravel 12.39.0 on PHP 8.2.4 with SQLite tests and configured SQLite/MySQL/MariaDB drivers,php artisan --version and composer.lock,REUSE_RUNTIME_LATER,Laravel migration/service/command integration after isolated driver validation,Framework already supplies transactions migrations queues locks auth and tests,Rehash all 7 allowlisted Laravel inventory files; do not integrate while sibling lacks Git rollback; test actual target driver
1.0.0,FUNDAMENTAL_DATA_TABLE,Laravel sibling,database/migrations/2025_12_26_152031_create_fundamental_data_table.php,Mutable economic-calendar presentation rows with actual forecast previous impact date time and source,Migration SHA-256 60f705f7a5fe67440d00730e956fd9136152411a4c87b8287a08f79c94129479,DO_NOT_REUSE_TABLE,Separate immutable macro_observations and source lineage,No vintage identity raw-body hash supersession effective-time or append-only contract and existing service updates rows in place,Keep calendar rows outside research lineage
1.0.0,FUNDAMENTAL_DATA_MODEL,Laravel sibling,app/Models/FundamentalData.php,Fillable mutable Eloquent model with a saving hook and no immutability guard,Model SHA-256 4280465584a033ea964f5ee4b2b2c33b074103f5092ee27a628d9b92ca89ca31,DO_NOT_REUSE_MODEL,Read-only macro models or query services only after migration,Mutable model behavior is incompatible with never-overwritten vintages,Runtime roles get INSERT/SELECT only and DB triggers deny UPDATE/DELETE
1.0.0,FUNDAMENTAL_CALENDAR_COLLECTOR,Laravel sibling,app/Http/Service/FundamentalScrapeService.php,Calendar and FRED/ForexFactory/Investing/TradingEconomics collection with in-place actual updates and surprise logic,Source inspection plus public fundamental routes,DO_NOT_ADAPT_FOR_ROLE5,New official-archive allowlisted collector,Program prohibits surprise scoring and requires raw immutable versions; caller-facing calendar surfaces are not a safe research collector,CLI/worker only; fixed route allowlist; no caller URL
1.0.0,FUNDAMENTAL_API_ROUTES,Laravel sibling,routes/api.php,Fundamental view/store/sync/calendar/scorecard routes are outside auth:sanctum group,Route SHA-256 0760fefe2788d60c151b5031c4185c371c5b8481e432d17bd3a41730b15e0ff9,DO_NOT_REUSE_WRITE_SURFACE,No macro research write API in Roles 4-11,Public write/sync route is incompatible with collection authorization and source allowlisting,Future research page is authenticated read-only with policy and negative IDOR tests
1.0.0,RESEARCH_NEWS_SOURCE_RUNS,Laravel sibling,database/migrations/2026_07_13_010000_create_research_news_lineage_tables.php,UUID source runs with redacted parameters payload hash versions and chronology,Migration SHA-256 c44facdf8dac093e7c2c590f7bd3aafdfcb13d2e619a97d9b098251c2026ffbe,REUSE_PATTERN_NOT_TABLE,macro_source_runs plus macro_raw_artifacts,Useful provenance pattern but news schema stores raw JSON in-table and has no route/vintage/resume/raw-file contract,Add terminal-attempt semantics idempotency parent resume and private raw-file hash
1.0.0,RESEARCH_NEWS_OBSERVATIONS,Laravel sibling,database/migrations/2026_07_13_010000_create_research_news_lineage_tables.php,Immutable-looking revision rows with supersedes FK and unique story revision,Migration and ResearchNewsLineageService inspection,ADAPT_PATTERN_NOT_TABLE,macro_observations,Revision-chain transaction and row-lock pattern is reusable but news identity/timestamps/status are domain-specific,Enforce same-identity revision plus raw/source-run lineage and category/timing checks
1.0.0,RESEARCH_NEWS_SCORES,Laravel sibling,database/migrations/2026_07_13_010000_create_research_news_lineage_tables.php,Version/hash-rich score lineage,Migration inspection,ADAPT_HASH_LINEAGE_PATTERN,Macro indicator/bundle/category/snapshot hashes,Hashing pattern is reusable but sentiment model/prompt schema is prohibited and unrelated,Use scoring/config/code/registry hashes only; no LLM or ML
1.0.0,RESEARCH_NEWS_SERVICE,Laravel sibling,app/Http/Service/ResearchNewsLineageService.php,Redaction checks DB transaction lockForUpdate deterministic hashing and chronology assertion,Service SHA-256 6a26e1c78f029e77bc28a5a5df05215fcd1a00f8538585315f361fa8fd4d1567,REUSE_IMPLEMENTATION_PATTERNS,Macro collector/scorer services,Transaction/redaction/row-lock mechanisms fit while domain logic does not,Move immutability from convention to DB triggers and least-privilege grants
1.0.0,LARAVEL_AUTHORIZATION,Laravel sibling,app/Policies/TradeRecordPolicy.php,Sanctum authentication and policy pattern with negative IDOR tests,Routes and 65-test Laravel suite,REUSE_PATTERN,Authenticated read-only macro research page later,Existing security repair provides a usable ownership/policy pattern,No Role 4 route; future GET only and no raw path exposure
