record_id,cycle,record_type,allocation,novelty_class,strategy_family,label_formulation,model_role,simple_baseline,status,selected,prior_overlap,data_suitability,final_holdout_access,notes
QRP-C1-BL001,1,COMPLETED,CONTROL,PARAMETER_VARIATION,MARKET_EXPOSURE,TERMINAL_BUY_HOLD_PNL,NONE,BUY_AND_HOLD,REFERENCE_ONLY,false,NONE,NORMALIZED_CFD_RESEARCH,0,Not promotable
QRP-C1-BL002,1,COMPLETED,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,SURVIVES_PHASE_G,false,NONE,NORMALIZED_CFD_RESEARCH,0,Reference for Phase J
QRP-C1-BL003,1,COMPLETED,EXPLOIT,PARAMETER_VARIATION,DAILY_MEAN_REVERSION,THREE_BAR_NET_RETURN,NONE,FIXED_Z20,REJECTED,false,NONE,NORMALIZED_CFD_RESEARCH,0,Medium-cost net nonpositive
QRP-C1-ML001,1,COMPLETED,EXPLORE,MODEL_VARIATION,H1_DIRECTION,FORWARD_DIRECTION_12,PRICE_DIRECTION_LOGISTIC,BASE_RATE,REJECTED,false,H1_DIRECTION,NORMALIZED_CFD_RESEARCH,0,Brier no-skill gate
QRP-C1-ML002,1,COMPLETED,EXPLORE,MODEL_VARIATION,H1_DIRECTION,FORWARD_DIRECTION_12,PRICE_DIRECTION_TREE,BASE_RATE,REJECTED,false,H1_DIRECTION,NORMALIZED_CFD_RESEARCH,0,Brier no-skill gate
QRP-C1-ML003,1,COMPLETED,EXPLORE,MODEL_VARIATION,H1_DIRECTION,FORWARD_DIRECTION_12,PRICE_DIRECTION_XGBOOST,BASE_RATE,REJECTED,false,H1_DIRECTION,NORMALIZED_CFD_RESEARCH,0,Brier no-skill gate
H001,1,PROPOSAL,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,SELECTED,true,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Nested fixed control QRP-C1-J001
H002,1,PROPOSAL,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,SELECTED,true,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Lookback 15 20 25 QRP-C1-J002
H003,1,PROPOSAL,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,THREE_FIVE_SEVEN_BAR_NET_RETURN,NONE,FIXED_20D_5H,SELECTED,true,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Hold 3 5 7 QRP-C1-J003
H004,1,PROPOSAL,EXPLOIT,FEATURE_VARIATION,VOL_NORMALIZED_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,ZERO_DEADBAND,SELECTED,true,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Deadband QRP-C1-J004
H005,1,PROPOSAL,EXPLOIT,FEATURE_VARIATION,EFFICIENCY_GATED_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_GATE,SELECTED,true,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Backward as-of H1 gate QRP-C1-J005
H006,1,PROPOSAL,EXPLOIT,FEATURE_VARIATION,COST_HURDLE_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_HURDLE,DEFERRED,false,QRP-C1-BL002,LIMITED_HYPOTHETICAL_COSTS,0,H004 is cleaner mechanism
H007,1,PROPOSAL,EXPLOIT,FEATURE_VARIATION,VOL_STATE_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,UNCONDITIONAL,DEFERRED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Overlaps H004 H005
H008,1,PROPOSAL,EXPLORE,STRATEGY_ARCHITECTURE_VARIATION,MOMENTUM_TRADE_FILTER,POSITIVE_MEDIUM_COST_TRADE_PNL,TRADE_ACCEPTANCE_LOGISTIC,ACCEPT_ALL,SELECTED,true,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Non-directional ML QRP-C1-J006
H009,1,PROPOSAL,EXPLORE,NEW_MARKET_HYPOTHESIS,H1_COMPRESSION_BREAKOUT,ONE_ATR_BARRIER_FIRST,SIMPLE_THRESHOLD_RULE,UNCONDITIONAL_BARRIER_RATE,SELECTED,true,NONE,NORMALIZED_CFD_RESEARCH,0,New family QRP-C1-J007
H010,1,PROPOSAL,EXPLORE,LABEL_VARIATION,H1_BARRIER_ASYMMETRY,ONE_ATR_BARRIER_CLASS,SHALLOW_TREE,UNCONDITIONAL_CLASS_RATE,DEFERRED,false,QRP-C1-ML002,NORMALIZED_CFD_RESEARCH,0,Defer duplicate barrier and model family
QRP-C1-J001,1,COMPLETED,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,REJECTED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Broad economics and decay gates failed
QRP-C1-J002,1,COMPLETED,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,REJECTED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Broad economics and decay gates failed
QRP-C1-J003,1,COMPLETED,EXPLOIT,PARAMETER_VARIATION,DAILY_MOMENTUM,THREE_FIVE_SEVEN_BAR_NET_RETURN,NONE,FIXED_20D_5H,REJECTED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Fold lower tail and decay failed
QRP-C1-J004,1,COMPLETED,EXPLOIT,FEATURE_VARIATION,VOL_NORMALIZED_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,ZERO_DEADBAND,REJECTED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Fold lower tail and decay failed
QRP-C1-J005,1,COMPLETED,EXPLOIT,FEATURE_VARIATION,EFFICIENCY_GATED_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_GATE,REJECTED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Train to test decay failed
QRP-C1-J006,1,COMPLETED,EXPLORE,STRATEGY_ARCHITECTURE_VARIATION,MOMENTUM_TRADE_FILTER,POSITIVE_MEDIUM_COST_TRADE_PNL,TRADE_ACCEPTANCE_LOGISTIC,ACCEPT_ALL,REJECTED,false,QRP-C1-BL002,NORMALIZED_CFD_RESEARCH,0,Calibration controls lower tail and decay failed
QRP-C1-J007,1,COMPLETED,EXPLORE,NEW_MARKET_HYPOTHESIS,H1_COMPRESSION_BREAKOUT,ONE_ATR_BARRIER_FIRST,SIMPLE_THRESHOLD_RULE,UNCONDITIONAL_BARRIER_RATE,REJECTED,false,NONE,NORMALIZED_CFD_RESEARCH,0,No inner eligible candidate
H011,2,PROPOSAL,EXPLOIT,FEATURE_VARIATION,VOL_STATE_DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,UNCONDITIONAL_MOMENTUM,SELECTED,true,QRP-C1-J004,NORMALIZED_CFD_RESEARCH,0,Daily realized volatility state QRP-C2-J001
H012,2,PROPOSAL,EXPLOIT,FEATURE_VARIATION,MULTI_HORIZON_CONSENSUS_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,FIXED_20D_5H,SELECTED,true,QRP-C1-J002,NORMALIZED_CFD_RESEARCH,0,Formation sign consensus QRP-C2-J002
H013,2,PROPOSAL,EXPLOIT,FEATURE_VARIATION,H1_ALIGNED_DAILY_MOMENTUM,FIVE_BAR_NET_RETURN,NONE,NO_ALIGNMENT,SELECTED,true,QRP-C1-J005,NORMALIZED_CFD_RESEARCH,0,Signed backward asof H1 alignment QRP-C2-J003
