schema_version,risk_id,evidence_label,risk,severity,likelihood,evidence,control,status,owner,next_action
1.0.0,DBR-001,FACT,Laravel sibling has no Git identity or rollback baseline,HIGH,HIGH,No .git directory was found and repository state cannot be diffed,Keep executable Role 4 changes in the version-controlled research repo only,OPEN,Repository owner,Place Laravel sibling under version control or approve a versioned patch intake before integration
1.0.0,DBR-002,FACT,Actual MySQL or MariaDB engine/version is unresolved,HIGH,MEDIUM,Config supports multiple drivers while tests use SQLite,Keep SQLite proof explicitly non-production and require target-driver migration/trigger tests,OPEN,Role 5 plus repository owner,Name the target driver/version and run clean disposable migration plus trigger negatives
1.0.0,DBR-003,INTERPRETATION,Application-only immutability could be bypassed by SQL or another service,CRITICAL,MEDIUM,Existing research-news tables have no update/delete triggers,Use DB append-only triggers and runtime roles without UPDATE/DELETE,CONTROL_DESIGNED,Role 5 implementation,Translate all 22 no-update/no-delete triggers and test each target driver
1.0.0,DBR-004,FACT,Existing fundamental write/sync routes are outside auth:sanctum,CRITICAL,HIGH,routes/api.php places fundamental prefix outside protected group,Do not expose any macro research write route; collector is CLI/worker allowlist only,OPEN_EXISTING_SURFACE_NOT_REUSED,Application security owner,Keep Role 5 commands non-HTTP and audit any future read route authorization
1.0.0,DBR-005,FACT,Current revised endpoints can overwrite historical meaning,CRITICAL,MEDIUM,Role 3 has one CURRENT_REVISED_HISTORY_ONLY route and explicit reconciliation-only rules,Collector allowlist accepts only APPROVED_FOR_BOUNDED_COLLECTION and preserves archive versions,CONTROL_DESIGNED,Role 5 collector,Add a negative test that rejects current-revised and rejected routes
1.0.0,DBR-006,FACT,Raw bytes can be orphaned if filesystem and DB transactions fail at different points,HIGH,MEDIUM,Filesystem rename and DB commit are not one atomic transaction,Hash while writing then fsync/rename then DB transaction; quarantine unattached hashes,CONTROL_DESIGNED,Role 5 collector,Implement orphan scan and idempotent attach only after byte revalidation
1.0.0,DBR-007,FACT,Secrets or credentials could enter request/error lineage,CRITICAL,LOW,Role 2 retained no secrets and news service has redaction checks,Reject secret-bearing keys; store redacted detail and contains_secrets=0; never log keys,CONTROL_DESIGNED,Role 5 collector,Add nested secret-key and error-redaction tests
1.0.0,DBR-008,INTERPRETATION,Concurrent collectors could assign duplicate revisions or clobber checkpoints,HIGH,MEDIUM,No macro collector exists yet,Use per-route mutex plus transaction/SELECT FOR UPDATE and unique idempotency/revision keys,CONTROL_DESIGNED,Role 5 collector,Test concurrent duplicate insert and resume race on target driver
1.0.0,DBR-009,FACT,Availability timing can be interpreted as an exact release clock when only a date is known,CRITICAL,MEDIUM,Role 2 uses date-level ALFRED vintages with conservative J0 not a wall-clock claim,Store raw source timestamp/timezone separately and explicit availability semantics/effective rule,CONTROL_DESIGNED,Roles 5 and 7,Reject any exact-clock claim lacking evidence and verify DST-aware J0/J1/J2
1.0.0,DBR-010,FACT,Raw retention or archive movement could break reproducibility,HIGH,MEDIUM,No approved storage/retention authority is named,Retain indefinitely; move only by copy-verify-manifest-switch with old path lineage,OPEN,Repository owner plus Role 5,Approve private storage backend capacity retention and backup policy
1.0.0,DBR-011,INTERPRETATION,Derived JSON lineage arrays may reference nonexistent or wrong-kind states,HIGH,MEDIUM,SQLite can validate JSON shape but not every array FK,Store canonical lineage hash and validate every component in scoring transaction/export validator,OPEN_BY_DESIGN,Role 6 scoring engineer,Implement relational join validation before any score materialization
1.0.0,DBR-012,FACT,Registry chronology remains unresolved,HIGH,HIGH,Three Phase I completions retain nonmonotonic historical timestamps,Bind the current registry hash to every observation/derived run and retain final-champion veto,OPEN_GOVERNANCE_CAVEAT,Independent auditor,Do not convert schema PASS into a clean registry or champion PASS
1.0.0,DBR-013,FACT,LIQUIDITY has zero verified observations and pre-2017 coverage is prospective,HIGH,HIGH,Role 2 category counts show LIQUIDITY=0 and Role 3 labels archive coverage prospective,Schema supports absence without fabricating rows and UNKNOWN with fewer than three categories,OPEN_DATA_GAP,Role 5 collector,Collect H.6 M2 first then H.4.1 under bounded official routes
1.0.0,DBR-014,FACT,Destructive rollback after evidence exists would violate append-only retention,CRITICAL,MEDIUM,All 11 tables are designed immutable,Permit down migration only while empty; otherwise export/verify/copy to a new schema version,CONTROL_DESIGNED,Migration owner,Add a migration guard that refuses destructive down when any macro table is nonempty
1.0.0,DBR-015,INTERPRETATION,Large immutable histories and indexes can increase storage/write cost,MEDIUM,HIGH,25 retained artifacts and 1730 versions are small but 2000-2026 archive collection will grow,Use selective as-of/lineage indexes and partition/archival only after measured profiling,MONITOR,Role 5 and performance specialist,Measure row/byte/index growth after bounded liquidity pilot without weakening lineage
1.0.0,DBR-016,FACT,Independent review found cross-wiring possible across observation revisions snapshots event states and technical copies,CRITICAL,MEDIUM,Original 27-trigger proof checked only partial identities and snapshot time,Preserve the failed review evidence and enforce full named identity score timing count and copied-value lineage in 28 triggers,CONTROL_STRENGTHENED,Role 4 architecture plus Role 5 translation,Translate all strengthened triggers exactly and rerun every negative on the target driver
1.0.0,DBR-017,FACT,Declared Laravel sibling hashes were originally report-only and not revalidated by the architecture command,HIGH,MEDIUM,Original validator checked repository_inputs only,Allowlist seven non-secret Laravel source paths and rehash each read-only with isolated tamper regression,CONTROL_STRENGTHENED,Role 4 validator plus future inventory owner,Keep path allowlist fixed and fail closed on missing symlinked unsafe or hash-mismatched input
