sample_id,category,indicator,requested_year,page_url,source_series_range,release_ledger_status,actual,forecast_or_consensus,previous,release_timestamp,revision_semantics,point_in_time_classification,evidence_note
TE-COV-001,INFLATION,INFLATION_RATE_YOY,2005,https://tradingeconomics.com/united-states/inflation-cpi,1914-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2005 release row reached
TE-COV-002,INFLATION,INFLATION_RATE_YOY,2010,https://tradingeconomics.com/united-states/inflation-cpi,1914-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2010 release row reached
TE-COV-003,INFLATION,INFLATION_RATE_YOY,2015,https://tradingeconomics.com/united-states/inflation-cpi,1914-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2015 release row reached
TE-COV-004,INFLATION,INFLATION_RATE_YOY,2020,https://tradingeconomics.com/united-states/inflation-cpi,1914-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2020 release row reached
TE-COV-005,INFLATION,INFLATION_RATE_YOY,2024,https://tradingeconomics.com/united-states/inflation-cpi,1914-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2024 release row reached
TE-COV-006,INFLATION,INFLATION_RATE_YOY,2026,https://tradingeconomics.com/united-states/inflation-cpi,1914-2026,RECENT_PRE_CUTOFF_ROWS_ONLY,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,AVAILABLE_BUT_UNVERSIONED,SEMANTICS_UNRESOLVED,PUBLIC_HISTORICAL_RECONSTRUCTION,2026-06-10 row visible with GMT and May reference; no first-receipt evidence
TE-COV-007,GROWTH,GDP_GROWTH_RATE,2005,https://tradingeconomics.com/united-states/gdp-growth,1947-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2005 release row reached
TE-COV-008,GROWTH,GDP_GROWTH_RATE,2010,https://tradingeconomics.com/united-states/gdp-growth,1947-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2010 release row reached
TE-COV-009,GROWTH,GDP_GROWTH_RATE,2015,https://tradingeconomics.com/united-states/gdp-growth,1947-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2015 release row reached
TE-COV-010,GROWTH,GDP_GROWTH_RATE,2020,https://tradingeconomics.com/united-states/gdp-growth,1947-2026,LONG_RUN_CHART_RANGE_ONLY,AVAILABLE_CURRENT_REVISED_ONLY,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SEMANTICS_UNRESOLVED,CURRENT_REVISED_VALUE_ONLY,Year is inside current chart range; no 2020 release row reached
