check_id,scope,status,checked_count,error_count,warning_count,failure_codes,evidence
R7-ACTIVE-CENSUS,daily active input census,PASS,1,0,0,,ASSERTIONS_PASSED
R7-ACTIVE-NONANTICIPATION,daily active input nonanticipation,PASS,51361,0,0,,ASSERTIONS_PASSED
R7-AGGREGATE-BOUNDARIES,frozen bundle/category boundaries,PASS,6,0,0,,ASSERTIONS_PASSED
R7-ALL-UNKNOWN,terminal Role 6 coverage decision,PASS,1,0,0,,ASSERTIONS_PASSED
R7-ATOMIC-SNAPSHOT,same-effective-time atomic batches,PASS,1,0,0,,ASSERTIONS_PASSED
R7-ATOMIC-TRIGGERS,same-effective-time atomic batches,PASS,5216,0,0,,ASSERTIONS_PASSED
R7-AVAILABILITY-BEFORE-EFFECTIVE,availability chronology,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-BUNDLE-PRESENCE,indicator to bundle lineage,PASS,5111,0,0,,ASSERTIONS_PASSED
R7-BUNDLE-RECOMPUTE,indicator to bundle lineage,PASS,10222,0,0,,ASSERTIONS_PASSED
R7-CATEGORY-INSUFFICIENCY,independent category capacity,PASS,1,0,0,,ASSERTIONS_PASSED
R7-CATEGORY-PRESENCE,bundle to category lineage,PASS,1840,0,0,,ASSERTIONS_PASSED
R7-CATEGORY-RECOMPUTE,bundle to category lineage,PASS,3680,0,0,,ASSERTIONS_PASSED
R7-COUNT-INPUT,Role 5 frozen inputs,PASS,3,0,0,,ASSERTIONS_PASSED
R7-CUTOFF,historical cutoff,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-DAILY-ASOF,daily snapshot nonanticipation,PASS,19352,0,0,,ASSERTIONS_PASSED
R7-DAILY-BIAS,daily insufficiency decision,PASS,9676,0,0,,ASSERTIONS_PASSED
R7-DAILY-CALENDAR,daily as-of calendar,PASS,1,0,0,,ASSERTIONS_PASSED
R7-DST-COVERAGE,DST-aware timezone coverage,PASS,1,0,0,,ASSERTIONS_PASSED
R7-H41-NO-REVISION,H.4.1 as-published snapshots,PASS,3684,0,0,,ASSERTIONS_PASSED
R7-HASH-INPUT,Role 5 frozen inputs,PASS,3,0,0,,ASSERTIONS_PASSED
R7-HASH-ROLE6-CODE,Role 6 scoring code,PASS,1,0,0,,ASSERTIONS_PASSED
R7-HASH-ROLE6-CONFIG,Role 6 scoring config,PASS,1,0,0,,ASSERTIONS_PASSED
R7-HASH-ROLE6-OUTPUT,Role 6 named outputs,PASS,21,0,0,,ASSERTIONS_PASSED
R7-HASH-ROLE6-REGISTRY,Role 6 registries,PASS,4,0,0,,ASSERTIONS_PASSED
R7-INDICATOR-RECOMPUTE,independent full-state recomputation,PASS,104320,0,0,,ASSERTIONS_PASSED
R7-INDICATOR-STATE-PRESENCE,observation to indicator lineage,PASS,5216,0,0,,ASSERTIONS_PASSED
R7-INPUT-CATEGORY,Role 5 to Role 6 mapping,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-J0-EXACT,J0 effective delay,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-J1-J2-BOUNDARY,frozen source-calendar join semantics,PASS,1,0,0,,ASSERTIONS_PASSED
R7-J1-J2-MISSING-CALENDAR,J1/J2 fail-closed calendar dependency,PASS,1,0,0,,ASSERTIONS_PASSED
R7-KL-CONVERSION,UTC to Asia/Kuala_Lumpur,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-LEDGER-CENSUS,one ledger row per input observation,PASS,1,0,0,,ASSERTIONS_PASSED
R7-LEDGER-PARITY,CSV/JSONL/Parquet ledger parity,PASS,2,0,0,,ASSERTIONS_PASSED
R7-LEDGER-SOURCE-LINEAGE,observation to ledger lineage,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-MANIFEST-COUNT,Role 6 manifest count lineage,PASS,8,0,0,,ASSERTIONS_PASSED
R7-MINIMUM-HISTORY,minimum prior history boundary,PASS,1,0,0,,ASSERTIONS_PASSED
R7-NO-DECAY-ASOF,indicator no-decay and replacement,PASS,51361,0,0,,ASSERTIONS_PASSED
R7-OBSERVATION-ID,immutable observation identity,PASS,1,0,0,,ASSERTIONS_PASSED
R7-RAW-HASH,immutable raw artifact lineage,PASS,2236,0,0,,ASSERTIONS_PASSED
R7-RAW-HASH-REFERENCE,immutable raw artifact lineage,PASS,10273,0,0,,ASSERTIONS_PASSED
R7-RAW-PRESENCE,immutable raw artifact lineage,PASS,2236,0,0,,ASSERTIONS_PASSED
